Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Date
fragrance,Woody Eau de Parfum,1.699976014,39,868,9866.465458,Non-binary,57,10,52,4,Blue Dart,8.868736544955123,Supplier B,Mumbai,6,656,3,30.28896541298344,Fail,8.923233991553872,Rail,Route E,384.3998202168909,01-01-18 9:20
healthcare,Multivitamin Tablets,75.20224380246933,87,809,8920.095775806232,Unknown,58,28,47,6,FedEx,6.051814479,Supplier D,Delhi,23,975,21,40.79863952935588,Pass,1.547675197622721,Rail,Route B,875.9808934508833,01-01-18 17:47
bodycare,Exfoliating Soap,22.916503480503803,90,832,6777.144443499444,Female,59,33,69,1,DHL,2.0684241154678173,Supplier E,Chennai,30,296,22,70.22678936694703,Pending,3.216067974353644,Air,Route C,674.2328253,02-01-18 0:50
bodycare,Coconut Body Butter,80.06541654398698,75,167,5711.616781476341,Male,0,32,44,5,Blue Dart,3.860731350762,Supplier A,Bangalore,26,529,25,97.71712990811082,Pass,1.4498417614486627,Road,Route E,723.8789249683086,02-01-18 1:18
bodycare,Exfoliating Soap,74.36468265205961,100,400,7338.061362093198,Male,31,32,30,7,Delhivery,1.8086294589988263,Supplier D,Hyderabad,25,985,6,52.79216919521533,Fail,2.0684346535521403,Air,Route J,103.916248,02-01-18 2:35
haircare,Keratin Conditioner,49.36124034318831,30,380,3736.997847640704,Male,16,32,72,2,FedEx,2.472217801626219,Supplier E,Pune,29,274,17,34.50299798053723,Pending,3.284242006246556,Air,Route F,513.9681973196375,02-01-18 8:18
babycare,Baby Powder,50.61027646512228,61,451,8160.674185367199,Unknown,84,34,57,7,UPS,6.461649963708107,Supplier D,Delhi,23,345,4,48.58530742819831,Fail,6.656958550522814,Road,Route H,526.6969698,02-01-18 12:22
skincare,Face Scrub,22.97345238520749,43,470,4168.417152537654,Male,8,36,95,8,FedEx,8.077718767542887,Supplier A,Mumbai,27,590,9,63.92357694543938,Pending,2.1336584075092677,Rail,Route I,530.5203598035702,02-01-18 15:58
wellness,Yoga Mat Cleaner,32.80243116915506,100,822,5883.547257594711,Non-binary,49,37,81,8,FedEx,4.769015786418399,Supplier A,Pune,28,307,26,18.005755215243163,Pending,2.2198669102502326,Road,Route F,680.4947925869737,02-01-18 18:46
grooming,Aftershave Lotion,7.703817639029182,32,508,4465.046183491536,Non-binary,34,28,34,6,FedEx,4.097505844882402,Supplier A,Ahmedabad,20,556,18,52.95762338455316,Pending,3.8848763272219964,Sea,Route I,918.9400849167532,03-01-18 8:48
